date,F1
2023-01-01 00:00:00,0.7135121
2023-01-01 01:00:00,0.45901793
2023-01-01 02:00:00,0.10929072
2023-01-01 03:00:00,0.5723575
2023-01-01 04:00:00,0.610597
2023-01-01 05:00:00,0.90412176
2023-01-01 06:00:00,0.89542264
2023-01-01 07:00:00,0.34975404
2023-01-01 08:00:00,0.868421
2023-01-01 09:00:00,0.45821303
2023-01-01 10:00:00,0.69521505
2023-01-01 11:00:00,0.69893384
2023-01-01 12:00:00,0.6198955
2023-01-01 13:00:00,0.6839311
2023-01-01 14:00:00,0.24814153
2023-01-01 15:00:00,0.5121292
2023-01-01 16:00:00,0.62790155
2023-01-01 17:00:00,0.96059704
2023-01-01 18:00:00,0.64925677
2023-01-01 19:00:00,0.5234513
2023-01-01 20:00:00,0.87096584
2023-01-01 21:00:00,0.45473778
2023-01-01 22:00:00,0.8487386
2023-01-01 23:00:00,0.67987436
2023-01-02 00:00:00,0.17095232
2023-01-02 01:00:00,0.2453314
2023-01-02 02:00:00,0.6135377
2023-01-02 03:00:00,0.252253
2023-01-02 04:00:00,0.004824996
2023-01-02 05:00:00,0.43651348
2023-01-02 06:00:00,0.14351273
2023-01-02 07:00:00,0.1976422
2023-01-02 08:00:00,0.3562814
2023-01-02 09:00:00,0.119731426
2023-01-02 10:00:00,0.00872463
2023-01-02 11:00:00,0.42213136
2023-01-02 12:00:00,0.985852
2023-01-02 13:00:00,0.38920188
2023-01-02 14:00:00,0.7388503
2023-01-02 15:00:00,0.88131666
2023-01-02 16:00:00,0.090969324
2023-01-02 17:00:00,0.44003427
2023-01-02 18:00:00,0.6189043
2023-01-02 19:00:00,0.57943094
2023-01-02 20:00:00,0.9427018
2023-01-02 21:00:00,0.32577693
2023-01-02 22:00:00,0.7514317
2023-01-02 23:00:00,0.1328755
2023-01-03 00:00:00,0.7159494
2023-01-03 01:00:00,0.15518898
2023-01-03 02:00:00,0.36271304
2023-01-03 03:00:00,0.42917752
2023-01-03 04:00:00,0.8886979
2023-01-03 05:00:00,0.6936837
2023-01-03 06:00:00,0.13358623
2023-01-03 07:00:00,0.85822195
2023-01-03 08:00:00,0.1904692
2023-01-03 09:00:00,0.41226375
2023-01-03 10:00:00,0.71807116
2023-01-03 11:00:00,0.77355444
2023-01-03 12:00:00,0.26325357
2023-01-03 13:00:00,0.6037465
2023-01-03 14:00:00,0.35172325
2023-01-03 15:00:00,0.74646235
2023-01-03 16:00:00,0.09465486
2023-01-03 17:00:00,0.7155171
2023-01-03 18:00:00,0.3558452
2023-01-03 19:00:00,0.17966849
2023-01-03 20:00:00,0.7481697
2023-01-03 21:00:00,0.740317
2023-01-03 22:00:00,0.50704736
2023-01-03 23:00:00,0.49607044
2023-01-04 00:00:00,0.15470898
